State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
PA,Allegheny County,42,3,4/10/2020,2,NA,NA,NA,NA
PA,Allegheny County,42,3,4/11/2020,2,NA,NA,NA,NA
PA,Allegheny County,42,3,4/12/2020,2,NA,NA,NA,NA
PA,Allegheny County,42,3,4/13/2020,2,NA,NA,NA,NA
PA,Allegheny County,42,3,4/14/2020,2,NA,NA,NA,NA
PA,Allegheny County,42,3,4/15/2020,2,NA,NA,NA,NA
PA,Allegheny County,42,3,4/16/2020,2,NA,NA,NA,NA
PA,Allegheny County,42,3,4/17/2020,2,NA,NA,NA,NA
PA,Allegheny County,42,3,4/18/2020,2,NA,NA,NA,NA
PA,Allegheny County,42,3,4/19/2020,1,Yes,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200415-SOH-worker-safety-order.pdf,"Pa. Health Order (Apr. 15, 2020)"
PA,Allegheny County,42,3,4/20/2020,1,Yes,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200415-SOH-worker-safety-order.pdf,"Pa. Health Order (Apr. 15, 2020)"
PA,Allegheny County,42,3,4/21/2020,1,Yes,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200415-SOH-worker-safety-order.pdf,"Pa. Health Order (Apr. 15, 2020)"
PA,Allegheny County,42,3,4/22/2020,1,Yes,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200415-SOH-worker-safety-order.pdf,"Pa. Health Order (Apr. 15, 2020)"
PA,Allegheny County,42,3,4/23/2020,1,Yes,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200415-SOH-worker-safety-order.pdf,"Pa. Health Order (Apr. 15, 2020)"
PA,Allegheny County,42,3,4/24/2020,1,Yes,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200415-SOH-worker-safety-order.pdf,"Pa. Health Order (Apr. 15, 2020)"
PA,Allegheny County,42,3,4/25/2020,1,Yes,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200415-SOH-worker-safety-order.pdf,"Pa. Health Order (Apr. 15, 2020)"
PA,Allegheny County,42,3,4/26/2020,1,Yes,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200415-SOH-worker-safety-order.pdf,"Pa. Health Order (Apr. 15, 2020)"
PA,Allegheny County,42,3,4/27/2020,1,Yes,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200415-SOH-worker-safety-order.pdf,"Pa. Health Order (Apr. 15, 2020)"
PA,Allegheny County,42,3,4/28/2020,1,Yes,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200415-SOH-worker-safety-order.pdf,"Pa. Health Order (Apr. 15, 2020)"
PA,Allegheny County,42,3,4/29/2020,1,Yes,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200415-SOH-worker-safety-order.pdf,"Pa. Health Order (Apr. 15, 2020)"
PA,Allegheny County,42,3,4/30/2020,1,Yes,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200415-SOH-worker-safety-order.pdf,"Pa. Health Order (Apr. 15, 2020)"
PA,Allegheny County,42,3,5/1/2020,1,Yes,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200415-SOH-worker-safety-order.pdf,"Pa. Health Order (Apr. 15, 2020)"
