County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Allegheny,06/13/2021,0,1.4,2024,1216045,0,0.12,166.44,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/05/2021,2,0.7,2045,1216045,0.16,0.06,168.17,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/30/2021,0,0.3,2040,1216045,0,0.02,167.76,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,06/14/2021,1,1.1,2025,1216045,0.08,0.09,166.52,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/08/2021,1,0.4,2033,1216045,0.08,0.04,167.18,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/14/2021,4,3.3,1901,1216045,0.33,0.27,156.33,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,06/17/2021,0,0.6,2026,1216045,0,0.05,166.61,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/11/2021,1,2,2057,1216045,0.08,0.16,169.15,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,06/23/2021,0,0.3,2028,1216045,0,0.02,166.77,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,06/24/2021,0,0.3,2028,1216045,0,0.02,166.77,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/25/2021,0,0.4,2039,1216045,0,0.04,167.67,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/21/2021,4,2.4,1918,1216045,0.33,0.2,157.72,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/27/2021,0,0.3,2039,1216045,0,0.02,167.67,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/28/2021,4,2.4,1935,1216045,0.33,0.2,159.12,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/30/2021,6,3,1943,1216045,0.49,0.25,159.78,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/26/2021,1,1.6,2080,1216045,0.08,0.13,171.05,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/11/2021,1,2.9,1889,1216045,0.08,0.23,155.34,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/02/2021,0,0.1,2040,1216045,0,0.01,167.76,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/18/2021,2,1.3,2066,1216045,0.16,0.11,169.9,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,05/28/2021,1,1.3,2003,1216045,0.08,0.11,164.71,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
